category,subcategory,name,slug,description,short_description,base_price,variant_names,variant_prices,variant_durations,duration_minutes,max_participants,provider_name,provider_type,is_addon,requires_provider,contraindications,preparation_notes,currency,sort_order
Spa & Wellness,Massage,Relaxing Massage,relaxing-massage,"Rhythmic and mesmerizing, this massage style uses gentle flowing strokes to increase circulation and relieve tension in the body. Warm towels and essential oils are infused into the session aiding the relaxation process and to create a sense of wellbeing.",Gentle flowing strokes to melt away tension and restore calm,80.00,60 min|75 min|90 min,80.00|95.00|110.00,60|75|90,,1,,resort,false,true,,,USD,1
Spa & Wellness,Massage,Therapeutic Massage,therapeutic-massage,"Specific injuries and chronic problem areas are attended to in this treatment. Your therapist applies the myofascial release techniques needed for your ailment in varying pressures to relieve pain, improve range of motion in target areas and help you get back to your best self. Hot towels are used to help soothe sore muscles along with the scent of essential oils to calm the mind.",Targeted bodywork for injuries and chronic tension,90.00,60 min|75 min|90 min,90.00|105.00|125.00,60|75|90,,1,,resort,false,true,,,USD,2
Spa & Wellness,Massage,Deep Tissue Massage,deep-tissue-massage,"This bodywork penetrates into the deepest layers of muscle and connective tissue addressing soreness, pain and muscle damage. Firm pressure is applied with specific myofascial techniques to release tightness in the muscle tissue, ligaments and joints. Heated towels and essential oils specific to the ailment compliment this curative modality. It's not uncommon for clients to feel sore for a day or two after a deep tissue massage. However, this soreness is a natural response and indicates that the body is healing. Drinking plenty of water post-massage can help flush out toxins and reduce soreness.",Firm pressure reaching the deepest layers of muscle and fascia,90.00,60 min|75 min|90 min,90.00|105.00|125.00,60|75|90,,1,,resort,false,true,,Drink plenty of water after. Some soreness for 1-2 days is normal and indicates healing.,USD,3
Spa & Wellness,Massage,Hot Stone Massage,hot-stone-massage,"A relaxing massage where the therapist uses smooth, heated volcanic stones as an extension of their own hands. The heated stones melt away tension and ease sore muscles. This therapy has a lovely sedative effect that can relieve chronic pain, reduce stress and promote deep relaxation.",Heated volcanic stones that melt tension and ease sore muscles,100.00,60 min|75 min|90 min,100.00|115.00|135.00,60|75|90,,1,,resort,false,true,Not suitable for those with skin conditions or circulatory issues,,USD,4
Spa & Wellness,Massage,Ashiatsu Barefoot Massage,ashiatsu-barefoot-massage,"Ashiatsu is deep tissue massage in which your massage practitioner uses their feet to perform the therapy. Ashiatsu provides a deep tissue experience that is smooth, deep and less pointed than deep tissue massage with the hands, elbows, knuckles or fists. During Ashiatsu, your massage practitioner uses bars above them and a bench to stand on for support and control of the pressure throughout the massage. The recipient receives all the benefits of a full body deep tissue massage that is safe, relaxing and profound. This modality promotes better posture, relieves painful sore muscles, increases flexibility and promotes circulation.",Deep tissue using the therapist's feet for smooth and profound pressure,100.00,60 min|75 min|90 min,100.00|115.00|135.00,60|75|90,,1,,resort,false,true,,,USD,5
Spa & Wellness,Massage,Thai Massage,thai-massage,"Thai massage is practiced on a mat on the floor. It uses lots of supported and fluid stretching movements of the body, almost like passive yoga. As an ancient form of medical therapy, Thai massage works by encouraging the proper flow of the body's energy through its channels. The core premise is that when the body's life force energy is flowing properly the body can maintain its own optimal health, as nature intended.",Ancient passive yoga on a floor mat — stretching and energy flow,135.00,,,,,1,,resort,false,true,,Please wear comfortable non-restrictive clothing,USD,6
Spa & Wellness,Massage,Eastern Massage,eastern-massage,"Head, Face, Neck and Shoulder Release. Blends the art of Japanese facial massage with hypnotic Asian neck and head techniques to relieve stress, balance energy and revitalize facial glow. Lots of hot towels are used to relax the muscles of the back, neck and face. This treatment is especially helpful for those suffering from headaches, TMJ and stress in the shoulder region.",Japanese-inspired head and neck release for stress and radiance,90.00,,,,60,1,,resort,false,true,,Especially helpful for headaches and TMJ,USD,7
Spa & Wellness,Massage,Chi Nei Tsang - Abdominal Massage,chi-nei-tsang,"Chi Nei Tsang is an ancient abdominal massage that detoxifies, energizes and retrains our internal organs to work more efficiently. The treatment focuses on the abdominal area, and often releases tension in other parts of the body. It also helps with digestive disorders and overall tension.",Ancient abdominal massage to detoxify and energize internal organs,80.00,,,,60,1,,resort,false,true,"Not suitable for those who have had abdominal surgery in the past year, are currently menstruating with an IUD, pregnant or actively trying to become pregnant.",Refrain from eating for 2 hours and drinking for 1 hour before. Wear comfortable loose fitting clothing.,USD,8
Spa & Wellness,Massage,Lomi Lomi Hawaiian Massage,lomi-lomi-massage,"Lomi Lomi is an ancient form of therapeutic massage that originates from the spiritual traditions of the native Hawaiians. Rooted in the philosophy of the interconnectedness of all things, Lomi Lomi goes beyond just the physical treatment and seeks to harmonize the body, mind, and spirit. It utilizes flowing strokes from one part of the body to another, resembling the gentle waves of the ocean. Therapists often use their forearms and elbows, in addition to their hands, to apply pressure, allowing a broader and more dynamic range of motion.",Hawaiian sacred bodywork — ocean-like waves harmonizing body and spirit,90.00,2 hands (1 therapist)|4 hands (2 therapists),90.00|130.00,60|60,,1,,resort,false,true,,,USD,9
Spa & Wellness,Massage,Bamboo Massage,bamboo-massage,"A lovely full body oil massage with deep, medium or light pressure. Your therapist will use smooth bamboo sticks of various sizes to warm and release tension in the muscles, ligaments, and joints. Bamboo is the good luck plant. The sticks are rolled across the muscles with rhythmic gliding motions, gradually opening the muscle fibers to ease stress out of the body. An excellent choice for those who enjoy deep tissue massages.",Smooth bamboo sticks rolled rhythmically to release deep tension,100.00,,,,60,1,,resort,false,true,,,USD,10
Spa & Wellness,Massage,Kobido Japanese Facial Massage,kobido-facial-massage,"Ancient Japanese Facial Massage combines deep tissue massage, lymphatic drainage, acupressure, and gentle facial tapping. These techniques stimulate facial muscles, promote blood circulation, and encourage lymphatic flow. One of the primary goals is to prevent and rectify the signs of aging. By toning facial muscles and rejuvenating skin cells, it offers a natural facelift, enhancing skin elasticity and radiance. Beyond the physical benefits, Kobido also focuses on balancing the body's chi, promoting relaxation and a sense of well-being.",Ancient Japanese facelift — toning muscles and restoring radiance naturally,90.00,,,,60,1,,resort,false,true,,,USD,11
Spa & Wellness,Holistic Therapies,Lymphatic Drainage Massage,lymphatic-drainage,"This gentle form of massage uses light, rhythmic strokes and pumping movements in the direction of lymphatic fluid flow. The primary purpose is to promote the drainage of stagnant fluids, detoxify the body, and support a healthy immune system. The lymphatic system is one of the most important systems for your body's health, carrying away waste material so it can be eliminated from the body.",Gentle rhythmic strokes to drain toxins and boost immunity,80.00,,,,60,1,,resort,false,true,,,USD,12
Spa & Wellness,Holistic Therapies,Craniosacral Therapy,craniosacral-therapy,"A gentle, non-invasive form of alternative bodywork addressing alignment of the bones in the spinal column, head and sacrum. While listening for the rhythm of the Craniosacral fluid, a light holding technique is used along areas of the spine. This presence and intention creates a balance in the pulse of the cerebrospinal fluid flow, giving the body permission to unwind and potentially realign the spine. Can provide relief from migraines, neck and back pain, temporomandibular joint disorders and more.",Gentle spinal alignment for migraines and deep nervous system relief,80.00,,,,60,1,,resort,false,true,,Please wear comfortable non-restrictive clothing,USD,13
Spa & Wellness,Holistic Therapies,Foot Reflexology,foot-reflexology,"Foot reflexology is an ancient healing practice based on the principle that the foot, divided into reflex zones, is a mirror image of the entire body. Each reflex zone corresponds to a part of the body. Stimulating these zones can promote health in the corresponding organs and areas of the body through energetic pathways. Your therapist will first clean the lower legs and feet with refreshing salts, essential oils and hot towels. Gentle massage techniques are then applied to the lower legs and feet, followed by varying pressure to specific regions on your feet.",Ancient healing through the feet — each zone mirrors the whole body,80.00,,,,60,1,,resort,false,true,,,USD,14
Spa & Wellness,Energy Healing,Reiki Session,reiki-session,"Reiki is derived from two Japanese words: rei meaning universal, and ki meaning life energy. Reiki is based on the idea that a universal life energy flows through all living beings, and when this energy becomes disrupted or imbalanced, it can lead to physical, emotional, or spiritual illness. It is an energy balancing technique of laying on of hands offering a non-intrusive way to balance and harmonize the body's energy, promoting a sense of peace, well-being, and vitality.",Universal energy healing to restore balance and inner peace,80.00,60 min|75 min|90 min,80.00|95.00|110.00,60|75|90,,1,,resort,false,true,,Please wear comfortable non-restrictive clothing,USD,15
